4300000001;078GO5457DB627;ACTV;Fowle;Joshua;W;M;2;1964-11-11;4300002505;011;240;2619077;(null);011;510;0783203;(null);011;805;6289414;(null);JFowle@msn.com;JFowle@netzero.com
4300000002;803MO6290MK444;ACTV;Swigert;Willie;N;M;2;1973-02-21;4300002506;011;604;7677511;(null);011;336;3500450;(null);011;814;2071392;(null);WSwigert@msn.com;WSwigert@netzero.com
4300000003;329GW9315LX866;ACTV;Labree;Amos;G;M;3;1955-01-16;4300002507;011;905;7559403;737;011;956;3095007;613;011;204;0469550;(null);ALabree@hotmail.com;ALabree@earthlink.com
4300000004;047YK9898LQ614;ACTV;Ciciora;Charlotte;C;F;2;1974-05-07;4300002508;011;209;4671443;(null);011;480;3809714;(null);011;228;1159033;(null);CCiciora@msn.com;CCiciora@attbi.com
4300000005;805QP9293HR611;ACTV;Criscuolo;Franklin;F;M;2;1986-01-06;4300002509;011;402;0581561;(null);011;513;7947922;(null);011;306;5619128;(null);FCriscuolo@msn.com;FCriscuolo@netzero.com
4300000006;079CV0265WT109;ACTV;Rohrscheib;Constance;A;F;3;1957-09-01;4300002510;011;651;5858291;(null);011;303;7825512;(null);011;202;0130822;(null);CRohrscheib@msn.com;CRohrscheib@netzero.com
4300000007;414RB8918PT543;ACTV;Burtchell;Jason;V;M;2;1985-06-30;4300002511;011;517;5829430;(null);011;306;0362046;(null);011;815;5632777;(null);JBurtchell@earthlink.com;JBurtchell@rr.com
4300000008;857CV4901DE721;ACTV;Kules;Thomas;T;M;1;1949-02-07;4300002512;011;973;1341929;(null);011;661;1927095;710;011;469;6399788;(null);TKules@netzero.com;TKules@earthlink.com
4300000009;834EZ4964IF367;ACTV;Moe;Richard;A;M;2;1935-03-13;4300002513;011;806;0660052;(null);011;862;8239083;(null);011;918;5990738;(null);RMoe@attbi.com;RMoe@msn.com
4300000010;090EI5140VB829;ACTV;Proud;Lydia;G;F;2;1982-04-16;4300002514;011;912;2369170;461;011;909;1776236;(null);011;714;5005926;(null);LProud@earthlink.com;LProud@hotmail.com
4300000011;642KP7999YK621;ACTV;Faraldo;Mary;V;F;3;1961-02-28;4300002515;011;423;1768669;(null);011;336;8364308;(null);011;480;9123165;(null);MFaraldo@netzero.com;MFaraldo@earthlink.com
